Name,Height,Weight,Age,PTS,REB,AST,NETRTG
Devonte' Graham,6-1,195,26,14.8,2.7,5.4,2.1
Dewayne Dedmon,7-0,245,31,7.1,5.4,0.8,17.1
Didi Louzada,6-5,188,21,2.7,1,1,-7.3
Dillon Brooks,6-7,225,25,17.2,2.9,2.3,4.5
Domantas Sabonis,6-11,240,25,20.3,12,6.7,-1.9
Donovan Mitchell,6-1,215,24,26.4,4.4,5.2,7.9
Donta Hall,6-10,230,23,5.6,4.8,0.8,-6.5
Donte DiVincenzo,6-4,203,24,10.4,5.8,3.1,8.1
Dorian Finney-Smith,6-7,220,28,9.8,5.4,1.7,5.1
Doug McDermott,6-7,225,29,13.6,3.3,1.3,-1.8
Draymond Green,6-6,230,31,7,7.1,8.9,5.4
Drew Eubanks,6-9,245,24,5.8,4.5,0.8,-4.6
Duncan Robinson,6-7,215,27,13.1,3.5,1.8,2.3
Dwayne Bacon,6-6,221,25,10.9,3.1,1.3,-11.4
Dwight Howard,6-10,265,35,7,8.4,0.9,-2.4
Dwight Powell,6-10,240,29,5.9,4,1.1,4
Dylan Windler,6-6,196,24,5.2,3.5,1.1,-6.5
E'Twaun Moore,6-3,191,32,4.9,1.7,1.5,0.5
Ed Davis,6-9,218,32,2.1,5,0.9,-7.6
Edmond Sumner,6-4,196,25,7.5,1.8,0.9,-0.4
Elfrid Payton,6-3,195,27,10.1,3.4,3.2,-3
Elijah Bryant,6-5,210,26,16,6,3,14
Elijah Hughes,6-5,215,23,1.7,0.5,0.3,-28.8
Enes Kanter,6-10,250,29,11.2,11,1.2,4.9
Eric Bledsoe,6-1,214,31,12.2,3.4,3.8,-1.8
Eric Gordon,6-3,215,32,17.8,2.1,2.6,-3.3
Eric Paschall,6-6,255,24,9.5,3.2,1.3,-6.8
Ersan Ilyasova,6-9,235,34,3.8,1.7,0.2,6.7
Evan Fournier,6-7,205,28,17.1,3,3.4,-1.4
Facundo Campazzo,5-10,195,30,6.1,2.1,3.6,2.8
Frank Jackson,6-3,205,23,9.8,2.2,0.9,-1
Frank Kaminsky,7-0,240,28,6.6,4,1.7,4.6
Frank Mason III,5-11,190,27,6.3,3,3,-11.1
Frank Ntilikina,6-4,200,22,2.7,0.9,0.6,-3.6
Fred VanVleet,6-1,197,27,19.6,4.2,6.3,3.3
Freddie Gillespie,6-9,245,24,5.6,4.9,0.5,-9.6
Furkan Korkmaz,6-7,202,23,9.1,2.1,1.5,6
Gabe Vincent,6-3,200,25,4.8,1.1,1.3,-5.9
Gabriel Deck,6-6,231,26,8.4,4,2.4,-12.7
Garrett Temple,6-5,195,35,7.6,2.9,2.2,1.5
Garrison Mathews,6-5,215,24,5.5,1.4,0.4,-5.6
Gary Clark,6-6,225,26,3.1,2.9,0.8,-7.7
Gary Harris,6-4,210,26,9.9,2,2,-4.2
Gary Payton II,6-3,195,28,2.5,1.1,0.1,2.2
Gary Trent Jr.,6-5,209,22,15.3,2.6,1.4,-1.8
George Hill,6-4,188,35,8.7,2,2.4,-0.4
Georges Niang,6-7,230,28,6.9,2.4,0.8,14.6
Giannis Antetokounmpo,6-11,242,26,28.1,11,5.9,9.8
Glenn Robinson III,6-6,222,27,5.3,2,0.9,-17.3
Goga Bitadze,6-11,250,21,5.1,3.3,0.8,-0.8
Goran Dragic,6-3,190,35,13.4,3.4,4.4,1.5
Gordon Hayward,6-7,225,31,19.6,5.9,4.1,0.7
Gorgui Dieng,6-10,252,31,6.8,3.7,1.3,-6.7
Grant Riller,6-2,190,24,2.6,0.1,0.4,-5.4
Grant Williams,6-6,236,22,4.7,2.8,1,-1.9
Grayson Allen,6-4,198,25,10.6,3.2,2.2,0.5
Greg Whittington,6-8,210,28,0,0,0,33.3
Hamidou Diallo,6-5,202,22,11.6,5.2,1.9,-8.6
Harrison Barnes,6-8,225,29,16.1,6.6,3.5,-1.8
Harry Giles III,6-11,240,23,2.8,3.5,0.8,-10.4
Hassan Whiteside,7-0,265,32,8.1,6,0.6,-8.1
Henry Ellenson,6-10,240,24,7.5,6,2.5,10.6
Ignas Brazdeikis,6-6,221,22,7,3.5,1.3,-4.3
Iman Shumpert,6-5,212,31,1,0.5,0,-4.3
Immanuel Quickley,6-3,190,22,11.4,2.1,2,7.1
Isaac Bonga,6-8,180,21,2,1.7,0.6,-3.3
Isaac Okoro,6-5,225,20,9.6,3.1,1.9,-8.7
Isaiah Hartenstein,7-0,250,23,5.1,3.9,1.2,2.1
Isaiah Joe,6-4,165,21,3.7,0.9,0.5,1.8
Isaiah Roby,6-8,230,23,8.7,5.6,1.8,-14.1
Isaiah Stewart,6-8,250,20,7.9,6.7,0.9,-2
Isaiah Thomas,5-9,185,32,7.7,1.3,1.7,6.7
Ish Smith,6-0,175,32,6.7,3.4,3.9,2.3
Ivica Zubac,7-0,240,24,9,7.2,1.3,5
JJ Redick,6-3,200,37,7.4,1.5,1.2,-1.3
Ja Morant,6-3,174,21,19.1,4,7.4,2.6
JaKarr Sampson,6-7,214,28,4.6,2.7,0.1,1.1
JaMychal Green,6-8,227,31,8.1,4.8,0.9,4.1
JaVale McGee,7-0,270,33,7.3,5.2,0.8,-6.1
Jabari Parker,6-8,245,26,5.5,3.2,0.8,-5.5
Jaden McDaniels,6-9,185,20,6.8,3.7,1.1,-3.4
Jae Crowder,6-6,235,30,10.1,4.7,2.1,6.3
Jae'Sean Tate,6-4,230,25,11.3,5.3,2.5,-3.8
Jahlil Okafor,6-10,270,25,5.4,2.4,0.5,-10.2
Jahmi'us Ramsey,6-3,190,20,3.1,0.8,0.5,2.4
Jake Layman,6-8,209,27,5.1,1.5,0.6,-5.8
Jakob Poeltl,7-1,245,25,8.6,7.9,1.9,3.2
Jalen Brunson,6-1,190,24,12.6,3.4,3.5,4.9
Jalen Harris,6-5,195,22,7.4,1.4,1.3,0.3
Jalen Lecque,6-4,185,21,1.3,1.3,0.5,-14.8
Jalen McDaniels,6-9,205,23,7.4,3.6,1.1,-9.4
Jalen Smith,6-10,215,21,2,1.4,0.1,-4.4
Jamal Murray,6-3,215,24,21.2,4,4.8,8
James Ennis III,6-6,215,30,8.4,4,1.5,-3.8
James Harden,6-5,220,31,24.6,7.9,10.8,2.9
James Johnson,6-7,240,34,7.2,3.5,1.9,-5
James Nunnally,6-7,205,30,1.7,1,0.3,-4.8
James Wiseman,7-0,240,20,11.5,5.8,0.7,-8.8
Jared Dudley,6-6,237,35,0.5,1.8,0.4,-1.7
Jared Harper,5-10,175,23,0.4,0.3,0.1,-16.4
Jaren Jackson Jr.,6-11,242,21,14.4,5.6,1.1,-10.5
Jarred Vanderbilt,6-9,214,22,5.4,5.8,1.2,-1.1
Jarrell Brantley,6-5,250,25,2.3,1,0.5,-9.1
Jarrett Allen,6-11,243,23,12.8,10,1.7,-5.6
Jarrett Culver,6-6,195,22,5.3,3.1,0.7,-10.7
Javonte Green,6-4,205,27,3.6,1.7,0.4,1.8
Jaxson Hayes,6-11,220,21,7.5,4.3,0.6,-0.9
Jay Scrubb,6-5,220,20,8.8,3.5,0.3,-2.8
Jaylen Adams,6-0,225,25,0.3,0.4,0.3,-31
Jaylen Brown,6-6,223,24,24.7,6,3.4,1.8
Jaylen Hoard,6-8,216,22,6.1,3.4,1.3,-9.1
Jaylen Nowell,6-4,201,21,9,2.3,1.5,-6.6
Jayson Tatum,6-8,210,23,26.4,7.4,4.3,3
Jeff Green,6-8,235,34,11,3.9,1.6,3.3
Jeff Teague,6-3,195,33,6.7,1.6,2.4,2.8
Jerami Grant,6-8,210,27,22.3,4.6,2.8,-3.2
Jeremiah Martin,6-2,185,25,2.4,0.8,0.4,-16.7
Jeremy Lamb,6-5,180,29,10.1,3.6,1.5,-0.3
Jerome Robinson,6-4,190,24,4.9,2.2,1.5,-13.1
Jevon Carter,6-1,200,25,4.1,1.5,1.2,3.3
Jimmy Butler,6-7,230,31,21.5,6.9,7.1,5.2
Joe Harris,6-6,220,29,14.1,3.6,1.9,6.9
Joe Ingles,6-8,220,33,12.1,3.6,4.7,11.8
Joel Embiid,7-0,280,27,28.5,10.6,2.8,12
John Collins,6-9,235,23,17.6,7.4,1.2,4.3
John Konchar,6-5,210,25,4.3,3,1.1,2.1
John Wall,6-3,210,30,20.6,3.2,6.9,-5.7
Jonas Valanciunas,6-11,265,29,17.1,12.5,1.8,3.8
Jontay Porter,6-11,240,21,2,1.3,0.1,0.9
Jordan Bell,6-8,216,26,2.5,4,1.2,-17
Jordan Bone,6-2,180,23,4,1.7,1.3,-14.3
Jordan Clarkson,6-4,194,29,18.4,4,2.5,7.8
Jordan McLaughlin,5-11,185,25,5,2.1,3.8,-6.3
Jordan Nwora,6-8,225,22,5.7,2,0.2,-0.3
Jordan Poole,6-4,194,22,12,1.8,1.9,0.7
Josh Green,6-5,200,20,2.6,2,0.7,1.9
Josh Hall,6-9,190,20,4.1,2.8,1.3,-13.2
Josh Hart,6-5,215,26,9.2,8,2.3,-0.2
Josh Jackson,6-8,207,24,13.4,4.1,2.3,-3.4
Josh Okogie,6-4,213,22,5.4,2.6,1.1,-6.6
Josh Richardson,6-5,200,27,12.1,3.3,2.6,-0.2
Jrue Holiday,6-3,205,31,17.7,4.5,6.1,9.2
Juan Toscano-Anderson,6-6,209,28,5.7,4.4,2.8,3.8
Juancho Hernangomez,6-9,214,25,7.2,3.9,0.7,-4.9
Julius Randle,6-8,250,26,24.1,10.2,6,3
Justin Holiday,6-6,180,32,10.5,3.6,1.7,-0.6
Justin Jackson,6-8,220,26,7.2,2.3,1.5,-3
Justin James,6-7,190,24,3.9,0.8,0.6,-8.5
Justin Patton,6-11,241,24,5.4,3.8,1.1,-14.1
Justin Robinson,6-1,195,23,2.3,0.8,1,-22
Justise Winslow,6-6,222,25,6.8,4.5,1.9,-6.1
Jusuf Nurkic,6-11,290,26,11.5,9,3.4,6.9
Juwan Morgan,6-7,232,24,1.2,1,0.3,-34.1
KJ Martin,6-6,215,20,9.3,5.4,1.1,-11.5
KZ Okpala,6-8,215,22,2.5,1.8,0.5,-6.8
Karim Mane,6-3,190,21,1.1,1.4,0.4,-12
Karl-Anthony Towns,6-11,248,25,24.8,10.6,4.5,-0.1
Kawhi Leonard,6-7,225,30,24.8,6.5,5.2,12.2
Keita Bates-Diop,6-8,229,25,2.6,1.6,0.4,-7.7
Kelan Martin,6-5,230,25,4.5,2.2,0.5,15.6
Keldon Johnson,6-5,220,21,12.8,6,1.8,-3.8
Keljin Blevins,6-4,200,25,0.7,0.6,0.2,-22.2
Kelly Olynyk,6-11,240,30,13.5,7,2.9,-2.5
Kelly Oubre Jr.,6-7,203,25,15.4,6,1.3,-4.6
Kemba Walker,6-0,184,31,19.3,4,4.9,3.1
Kendrick Nunn,6-2,190,25,14.6,3.2,2.6,-0.4
Kenrich Williams,6-6,210,26,8,4.1,2.3,-6.3
Kent Bazemore,6-4,195,31,7.2,3.4,1.6,5.9
Kentavious Caldwell-Pope,6-5,204,28,9.7,2.7,1.9,3.3
Kevin Durant,6-10,240,32,26.9,7.1,5.6,10.7
Kevin Huerter,6-7,190,22,11.9,3.3,3.5,1.7
Kevin Knox II,6-7,215,21,3.9,1.5,0.5,-3.5
Kevin Love,6-8,251,32,12.2,7.4,2.5,-6.5
Kevin Porter Jr.,6-4,203,21,16.6,3.8,6.3,-12.6
Kevon Looney,6-9,222,25,4.1,5.3,2,6
Khem Birch,6-9,233,28,7.2,5.8,1.3,-3.6
Khris Middleton,6-7,222,29,20.4,6,5.4,6.2
Khyri Thomas,6-3,210,25,16.4,3.6,5,7.3
Killian Hayes,6-5,195,19,6.8,2.7,5.3,-10.1
Killian Tillie,6-9,220,23,3.2,1.3,0.4,9.6
Kira Lewis Jr.,6-1,170,20,6.4,1.3,2.3,0.8
Kostas Antetokounmpo,6-10,200,23,0.8,1.3,0.1,22.1
Kris Dunn,6-3,205,27,1.3,1.5,0.5,-31.4
Kristaps Porzingis,7-3,240,25,20.1,8.9,1.6,0.7
Kyle Anderson,6-9,230,27,12.4,5.7,3.6,1.6
Kyle Guy,6-1,167,23,2.8,1.1,1,-4.2
Kyle Kuzma,6-10,221,25,12.9,6.1,1.9,-0.6
Kyle Lowry,6-0,196,35,17.2,5.4,7.3,-0.3
Kyrie Irving,6-2,195,29,26.9,4.8,6,5.6
LaMarcus Aldridge,6-11,250,35,13.5,4.5,1.9,-2.8
LaMelo Ball,6-6,180,19,15.7,5.9,6.1,-3.1
Lamar Stevens,6-6,230,23,4.1,2.4,0.6,-10.4
Landry Shamet,6-4,190,24,9.3,1.8,1.6,1.1
Langston Galloway,6-1,200,29,4.8,1.1,0.7,3.2
Larry Nance Jr.,6-7,245,28,9.3,6.7,3.1,-5.6
Lauri Markkanen,7-0,240,24,13.6,5.3,0.9,-2.8
LeBron James,6-9,250,36,25,7.7,7.8,9.2
Lonnie Walker IV,6-4,204,22,11.2,2.6,1.7,-6.3
Lonzo Ball,6-6,190,23,14.6,4.8,5.7,0.5
Lou Williams,6-1,175,34,11.3,2.1,3.4,1.8
Louis King,6-7,205,22,7.3,3,1.5,-3.3
Luguentz Dort,6-3,215,22,14,3.6,1.7,-7.2
Luka Doncic,6-7,230,22,27.7,8,8.6,3.9
Luka Samanic,6-10,227,21,3.7,2.1,0.5,-2
Luke Kennard,6-5,206,25,8.3,2.6,1.7,-0.4
Luke Kornet,7-2,250,25,3.4,2.2,0.8,5.8
Malachi Flynn,6-1,175,23,7.5,2.5,2.9,-5.6
Malcolm Brogdon,6-5,229,28,21.2,5.3,5.9,-0.5
